method,url_template,classification,verification,query_keys,parameter_expression,source,line,column
GET,/bs/assist.do?m=list&type=salarykind,read_candidate,verified_business_success,"m,type",,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,1726362
GET,/bs/assist.do?m=list&type=voucherTempType&_search=false,read_candidate,verified_business_success,"_search,m,type",e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,262987
GET,/bs/currency?m=findAll,read_candidate,verified_business_success,m,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,1725502
GET,/bs/systemprofile?m=agree,read_candidate,not_probed,m,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,81798
GET,/cloud-spi/course/video_url,read_candidate,not_probed,,{videoId:null===e||void 0===e||null===(a=e.content[0])||void 0===a?void 0:a.resourceId},https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/33.656a401f.chunk.js,1,31283
GET,/cloud-spi/course/video_url?videoId={e},read_candidate,not_probed,videoId,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,304121
GET,/gl/account?m=findAll&isdetail=0,read_candidate,not_probed,"isdetail,m",,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1072368
GET,/gl/account?m=findAll&isdetail=1,read_candidate,not_probed,"isdetail,m",e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1216073
GET,/gl/account?m=queryAccount,read_candidate,not_probed,m,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1215969
GET,/gl/acctgroup/query?m=findByclassId,read_candidate,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,415261
GET,/gl/cashier/cashTypeAction?m=list1,read_candidate,verified_business_success,m,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,1725933
GET,/gl/cashier/cashierAccountAction?m=list,read_candidate,verified_business_success,m,{disableFrontErrorMsg:!0},https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,1726033
GET,/gl/general?m=queryDetail,read_candidate,not_probed,m,filterConditions,https://vip4-kj.kdzwy.com/js/dist/subsidiaryLedger.js?ver=202609151511,1,3191
GET,/gl/remark?m=findList&internalind=t_VoucherExplanation,read_candidate,not_probed,"internalind,m",e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,264066
GET,/gl/voucher?m=findUsedVchNO,read_candidate,verified_business_success,m,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,1723911
